"ISO","X","Y"
"DOM",-69.15,18.55
"DOM",-69.05,18.55
"DOM",-68.95,18.55
"DOM",-68.85,18.55
"DOM",-68.75,18.55
"DOM",-68.65,18.55
"DOM",-68.55,18.55
"DOM",-68.45,18.55
"DOM",-68.35,18.55
"DOM",-71.95,18.45
"DOM",-71.85,18.45
"DOM",-71.75,18.45
"DOM",-71.65,18.45
"DOM",-71.55,18.45
"DOM",-71.45,18.45
"DOM",-71.35,18.45
"DOM",-71.25,18.45
"DOM",-71.15,18.45
"DOM",-71.05,18.45
"DOM",-70.95,18.45
"DOM",-70.85,18.45
"DOM",-70.75,18.45
"DOM",-70.65,18.45
"DOM",-70.55,18.45
"DOM",-70.45,18.45
"DOM",-70.35,18.45
"DOM",-70.25,18.45
"DOM",-70.15,18.45
"DOM",-70.05,18.45
"DOM",-69.95,18.45
"DOM",-69.85,18.45
"DOM",-69.75,18.45
"DOM",-69.65,18.45
"DOM",-69.55,18.45
"DOM",-69.45,18.45
"DOM",-69.35,18.45
"DOM",-69.25,18.45
"DOM",-69.15,18.45
"DOM",-69.05,18.45
"DOM",-68.95,18.45
"DOM",-68.85,18.45
"DOM",-68.75,18.45
"DOM",-68.65,18.45
"DOM",-68.55,18.45
"DOM",-68.45,18.45
"DOM",-68.35,18.45
"DOM",-71.85,18.35
"DOM",-71.75,18.35
"DOM",-71.65,18.35
"DOM",-71.55,18.35
"DOM",-71.45,18.35
"DOM",-71.35,18.35
"DOM",-71.25,18.35
"DOM",-71.15,18.35
"DOM",-71.05,18.35
"DOM",-70.95,18.35
"DOM",-70.85,18.35
"DOM",-70.75,18.35
"DOM",-70.55,18.35
"DOM",-70.45,18.35
"DOM",-70.35,18.35
"DOM",-70.25,18.35
"DOM",-70.15,18.35
"DOM",-70.05,18.35
"DOM",-69.15,18.35
"DOM",-69.05,18.35
"DOM",-68.95,18.35
"DOM",-68.85,18.35
"DOM",-68.75,18.35
"DOM",-68.65,18.35
"DOM",-68.55,18.35
"DOM",-68.45,18.35
"DOM",-71.75,18.25
"DOM",-71.65,18.25
"DOM",-71.55,18.25
"DOM",-71.45,18.25
"DOM",-71.35,18.25
"DOM",-71.25,18.25
"DOM",-71.15,18.25
"DOM",-71.05,18.25
"DOM",-70.95,18.25
"DOM",-70.85,18.25
"DOM",-70.55,18.25
"DOM",-70.45,18.25
"DOM",-70.35,18.25
"DOM",-70.25,18.25
"DOM",-70.15,18.25
"DOM",-68.75,18.25
"DOM",-68.65,18.25
"DOM",-71.75,18.15
"DOM",-71.65,18.15
"DOM",-71.55,18.15
"DOM",-71.45,18.15
"DOM",-71.35,18.15
"DOM",-71.25,18.15
"DOM",-71.15,18.15
"DOM",-71.05,18.15
"DOM",-70.55,18.15
"DOM",-70.45,18.15
"DOM",-68.75,18.15
"DOM",-68.65,18.15
"DOM",-68.55,18.15
"DOM",-71.75,18.05
"DOM",-71.65,18.05
"DOM",-71.55,18.05
"DOM",-71.45,18.05
"DOM",-71.35,18.05
"DOM",-71.25,18.05
"DOM",-71.15,18.05
"DOM",-71.05,18.05
"DOM",-71.75,17.95
"DOM",-71.65,17.95
"DOM",-71.55,17.95
"DOM",-71.45,17.95
"DOM",-71.35,17.95
"DOM",-71.25,17.95
"DOM",-71.15,17.95
"DOM",-71.65,17.85
"DOM",-71.55,17.85
"DOM",-71.45,17.85
"DOM",-71.35,17.85
"DOM",-71.25,17.85
"DOM",-71.65,17.75
"DOM",-71.55,17.75
"DOM",-71.45,17.75
"DOM",-71.35,17.75
"DOM",-71.55,17.65
"DOM",-71.45,17.65
"DOM",-71.35,17.65
"DOM",-71.55,17.55
"DOM",-71.45,17.55
"DOM",-71.65,17.45
