"","ISO","X","Y"
"290","DOM","-71.774455756","18.62947316"
"291","DOM","-71.701699087","18.62947316"
"292","DOM","-71.6289424180001","18.62947316"
"293","DOM","-71.556185749","18.62947316"
"294","DOM","-71.4834290800001","18.62947316"
"295","DOM","-71.410672411","18.62947316"
"296","DOM","-71.337915742","18.62947316"
"297","DOM","-71.265159073","18.62947316"
"298","DOM","-71.192402404","18.62947316"
"299","DOM","-71.119645735","18.62947316"
"300","DOM","-71.046889066","18.62947316"
"301","DOM","-70.974132397","18.62947316"
"302","DOM","-70.901375728","18.62947316"
"303","DOM","-70.828619059","18.62947316"
"304","DOM","-70.75586239","18.62947316"
"305","DOM","-70.683105721","18.62947316"
"306","DOM","-70.610349052","18.62947316"
"307","DOM","-70.537592383","18.62947316"
"308","DOM","-70.464835714","18.62947316"
"309","DOM","-70.392079045","18.62947316"
"310","DOM","-70.319322376","18.62947316"
"311","DOM","-70.246565707","18.62947316"
"312","DOM","-70.173809038","18.62947316"
"313","DOM","-70.101052369","18.62947316"
"314","DOM","-70.0282957","18.62947316"
"315","DOM","-69.955539031","18.62947316"
"316","DOM","-69.882782362","18.62947316"
"317","DOM","-69.810025693","18.62947316"
"318","DOM","-69.737269024","18.62947316"
"319","DOM","-69.664512355","18.62947316"
"320","DOM","-69.591755686","18.62947316"
"321","DOM","-69.518999017","18.62947316"
"322","DOM","-69.446242348","18.62947316"
"323","DOM","-69.373485679","18.62947316"
"324","DOM","-69.30072901","18.62947316"
"325","DOM","-69.227972341","18.62947316"
"326","DOM","-69.155215672","18.62947316"
"327","DOM","-69.082459003","18.62947316"
"328","DOM","-69.009702334","18.62947316"
"329","DOM","-68.936945665","18.62947316"
"330","DOM","-68.864188996","18.62947316"
"331","DOM","-68.7914323270001","18.62947316"
"332","DOM","-68.7186756580001","18.62947316"
"333","DOM","-68.6459189890001","18.62947316"
"334","DOM","-68.5731623200001","18.62947316"
"335","DOM","-68.5004056510001","18.62947316"
"336","DOM","-68.4276489820001","18.62947316"
"337","DOM","-68.354892313","18.62947316"
"338","DOM","-71.774455756","18.702244537"
"339","DOM","-71.701699087","18.702244537"
"340","DOM","-71.6289424180001","18.702244537"
"341","DOM","-71.556185749","18.702244537"
"342","DOM","-71.4834290800001","18.702244537"
"343","DOM","-71.410672411","18.702244537"
"344","DOM","-71.337915742","18.702244537"
"345","DOM","-71.265159073","18.702244537"
"346","DOM","-71.192402404","18.702244537"
"347","DOM","-71.119645735","18.702244537"
"348","DOM","-71.046889066","18.702244537"
"349","DOM","-70.974132397","18.702244537"
"350","DOM","-70.901375728","18.702244537"
"351","DOM","-70.828619059","18.702244537"
"352","DOM","-70.75586239","18.702244537"
"353","DOM","-70.683105721","18.702244537"
"354","DOM","-70.610349052","18.702244537"
"355","DOM","-70.537592383","18.702244537"
"356","DOM","-70.464835714","18.702244537"
"357","DOM","-70.392079045","18.702244537"
"358","DOM","-70.319322376","18.702244537"
"359","DOM","-70.246565707","18.702244537"
"360","DOM","-70.173809038","18.702244537"
"361","DOM","-70.101052369","18.702244537"
"362","DOM","-70.0282957","18.702244537"
"363","DOM","-69.955539031","18.702244537"
"364","DOM","-69.882782362","18.702244537"
"365","DOM","-69.810025693","18.702244537"
"366","DOM","-69.737269024","18.702244537"
"367","DOM","-69.664512355","18.702244537"
"368","DOM","-69.591755686","18.702244537"
"369","DOM","-69.518999017","18.702244537"
"370","DOM","-69.446242348","18.702244537"
"371","DOM","-69.373485679","18.702244537"
"372","DOM","-69.30072901","18.702244537"
"373","DOM","-69.227972341","18.702244537"
"374","DOM","-69.155215672","18.702244537"
"375","DOM","-69.082459003","18.702244537"
"376","DOM","-69.009702334","18.702244537"
"377","DOM","-68.936945665","18.702244537"
"378","DOM","-68.864188996","18.702244537"
"379","DOM","-68.7914323270001","18.702244537"
"380","DOM","-68.7186756580001","18.702244537"
"381","DOM","-68.6459189890001","18.702244537"
"382","DOM","-68.5731623200001","18.702244537"
